,question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at,correct_flag,question_flag
37,q40,b40,e40,b,1,11;7;181,1514558570368,634,1113
38,q41,b41,e41,d,1,4;2;181,1514558923551,144,234
39,q42,b42,e42,b,1,5;2;179;182,1514558926336,90,96
40,q43,b43,e43,a,1,16;2;183,1514558929124,131,144
41,q44,b44,e44,d,1,13;2;179;184,1514558931991,139,199
42,q45,b45,e45,d,1,6;7;181,1514558934629,135,175
43,q46,b46,e46,a,1,17;7;179;182,1514558937639,498,775
44,q47,b47,e47,d,1,4;2;179;183,1514558941520,156,218
45,q48,b48,e48,d,1,6;7;184,1514558945249,174,381
46,q49,b49,e49,c,1,6;7;179;183,1514558948185,195,288
47,q51,b51,e51,c,1,14;2;181,1514558793376,143,169
48,q52,b52,e52,b,1,22;2;182,1514558796081,292,326
49,q53,b53,e53,c,1,19;2;183,1514558798808,674,952
50,q54,b54,e54,b,1,9;2;179;184,1514558802574,247,574
51,q55,b55,e55,d,1,6;7;181,1514558805793,178,304
52,q56,b56,e56,c,1,15;2;179;182,1514558808521,575,956
53,q57,b57,e57,a,1,20;21;179;183,1514558811375,447,653
54,q58,b58,e58,b,1,5;2;179;184,1514558814000,151,178
55,q59,b59,e59,b,1,17;7;183,1514558816923,448,1144
56,q60,b60,e60,a,1,14;2;179;182,1514558819769,377,450
57,q61,b61,e61,c,1,6;7;181,1568687742288,403,547
58,q62,b62,e62,c,1,17;7;185,1568687744452,374,540
59,q63,b63,e63,b,1,4;2;185,1568687746591,465,754
60,q64,b64,e64,d,1,9;2;181,1568687748836,337,693
61,q65,b65,e65,b,1,12;2;183,1568687751001,742,1251
62,q66,b66,e66,d,1,15;2;185,1568687753140,500,667
63,q67,b67,e67,c,1,4;2;181,1568687755504,124,141
64,q68,b68,e68,b,1,22;2;185,1568687757669,397,432
65,q69,b69,e69,d,1,1;2;185,1568687759850,149,179
66,q70,b70,e70,d,1,6;7;181,1568687762004,181,495
67,q71,b71,e71,b,1,1;2;179;181,1514558272091,130,139
68,q72,b72,e72,a,1,14;2;179;182,1514558275857,214,290
69,q73,b73,e73,b,1,5;2;179;183,1514558279647,330,477
70,q74,b74,e74,a,1,5;2;179;184,1514558284079,185,223
71,q76,b76,e76,a,1,8;2;182,1514558287998,202,269
72,q77,b77,e77,c,1,11;7;183,1514558291712,445,806
73,q78,b78,e78,d,1,17;7;184,1514558295221,298,506
74,q79,b79,e79,a,1,4;2;183,1514558298595,357,437
75,q80,b80,e80,d,1,15;2;179;182,1514558301874,119,158
76,q81,b81,e81,b,1,6;7;181,1528943115623,132,173
77,q82,b82,e82,a,1,8;2;185,1528943117887,106,133
78,q84,b84,e84,c,1,20;21;181,1528943120323,383,528
79,q85,b85,e85,d,1,15;2;183,1528943122534,129,206
80,q86,b86,e86,a,1,13;2;185,1528943124645,340,509
81,q87,b87,e87,b,1,10;7;181,1528943126997,237,380
82,q88,b88,e88,a,1,12;2;185,1528943129194,168,194
83,q89,b89,e89,a,1,14;2;185,1528943131462,287,545
84,q90,b90,e90,a,1,15;2;181,1528943133552,337,389
85,q91,b91,e91,d,1,5;2;179;181,1514560456019,75,90
86,q92,b92,e92,a,1,4;2;182,1514560458878,129,158
87,q94,b94,e94,c,1,1;2;179;184,1514560462060,193,217
88,q95,b95,e95,d,1,8;2;179;181,1514560465332,125,159
89,q96,b96,e96,c,1,6;7;182,1514560468683,183,327
90,q97,b97,e97,d,1,6;7;183,1514560471645,145,276
91,q98,b98,e98,a,1,5;2;179;184,1514560474507,171,203
92,q99,b99,e99,a,1,18;7;179;182,1514560477560,903,1316
93,q100,b100,e100,c,1,22;2;181,1514558485914,294,326
94,q103,b103,e103,c,1,4;2;184,1514558492184,268,331
95,q104,b104,e104,b,1,6;7;181,1514558505441,317,560
96,q105,b105,e105,d,1,5;2;179;182,1514558511078,142,194
97,q106,b106,e106,a,1,4;2;184,1514558516117,216,316
98,q107,b107,e107,d,1,10;7;179;183,1514558534161,194,266
99,q108,b108,e108,a,1,10;7;182,1514558540092,469,793
100,q109,b109,e109,c,1,4;2;183,1561366485440,136,418
101,q110,b110,e110,c,1,12;2;182,1561366487562,130,273
102,q111,b111,e111,a,1,13;2;181,1561366489887,725,1152
103,q112,b112,e112,b,1,14;2;179;182,1561366492084,334,415
104,q113,b113,e113,d,1,14;2;183,1561366494316,145,185
105,q114,b114,e114,b,1,10;7;179;181,1561366496549,248,291
106,q115,b115,e115,a,1,15;2;183,1561366498753,443,634
107,q116,b116,e116,a,1,16;2;179;182,1561366500868,142,151
108,q118,b118,e118,d,1,14;2;179;182,1561366502998,152,234
109,q119,b119,e119,d,1,4;2;181,1514560217598,262,348
110,q120,b120,e120,b,1,1;2;185,1514560221527,219,268
111,q121,b121,e121,c,1,20;21;185,1514560224678,543,700
112,q122,b122,e122,d,1,8;2;181,1514560227744,216,345
113,q123,b123,e123,a,1,17;7;183,1514560231016,523,859
114,q124,b124,e124,b,1,20;21;185,1514560234362,551,734
115,q125,b125,e125,a,1,6;7;181,1514560237313,324,555
116,q126,b126,e126,c,1,15;2;185,1514560240673,139,196
117,q127,b127,e127,b,1,6;7;185,1514560243799,400,470
118,q128,b128,e128,b,1,13;2;181,1514560247277,174,202
119,q129,b129,e129,b,1,9;2;183,1514559419303,99,106
120,q130,b130,e130,d,1,6;7;182,1514559422454,198,349
121,q131,b131,e131,c,1,19;2;181,1514559425420,973,1468
122,q132,b132,e132,a,1,12;2;179;182,1514559428267,335,423
123,q133,b133,e133,b,1,8;2;179;183,1514559431147,267,303
124,q134,b134,e134,b,1,5;2;181,1514559434180,376,422
125,q135,b135,e135,d,1,4;2;183,1514559437175,500,1371
126,q136,b136,e136,c,1,3;2;179;182,1514559440230,261,325
127,q137,b137,e137,b,1,5;2;181,1514559443234,195,242
128,q139,b139,e139,a,1,14;2;183,1514559745173,306,391
129,q140,b140,e140,d,1,16;2;179;181,1514559747879,371,709
130,q141,b141,e141,b,1,9;2;183,1514559750600,266,343
131,q142,b142,e142,d,1,12;2;182,1514559753405,240,354
132,q143,b143,e143,c,1,11;7;181,1514559756300,317,445
133,q144,b144,e144,d,1,4;2;182,1514559759194,192,304
134,q145,b145,e145,b,1,13;2;183,1514559762217,464,684
135,q146,b146,e146,b,1,6;7;179;181,1514559765424,259,336
136,q149,b149,e149,b,1,13;2;181,1514559503340,246,312
137,q150,b150,e150,d,1,5;2;182,1514559506263,446,940
138,q151,b151,e151,d,1,6;7;181,1514559509332,188,292
139,q152,b152,e152,c,1,5;2;179;183,1514559512298,140,162
140,q153,b153,e153,a,1,8;2;179;182,1514559515383,227,254
141,q154,b154,e154,b,1,18;7;181,1514559518405,388,532
142,q156,b156,e156,a,1,4;2;183,1514559521384,143,173
143,q157,b157,e157,d,1,14;2;179;181,1514559524446,153,188
144,q158,b158,e158,c,1,8;2;181,1514558232488,600,1164
145,q159,b159,e159,a,1,9;2;185,1514558237263,119,126
146,q160,b160,e160,d,1,8;2;185,1514558241522,419,872
147,q161,b161,e161,d,1,5;2;181,1514558245605,94,118
148,q162,b162,e162,b,1,3;2;183,1514558249577,303,361
149,q163,b163,e163,a,1,6;7;185,1514558253312,131,164
150,q164,b164,e164,c,1,10;7;181,1514558256872,284,312
151,q165,b165,e165,b,1,20;21;185,1514558260726,300,454
152,q166,b166,e166,c,1,18;7;185,1514558264428,527,904
153,q167,b167,e167,a,1,5;2;181,1514558268045,265,325
154,q168,b168,e168,d,1,16;2;179;181,1514559199305,119,291
155,q169,b169,e169,c,1,22;2;179;182,1514559202225,242,295
156,q170,b170,e170,b,1,9;2;183,1514559205331,161,211
157,q171,b171,e171,d,1,9;2;184,1514559208307,296,590
158,q172,b172,e172,a,1,5;2;181,1514559211169,554,737
159,q173,b173,e173,a,1,17;7;182,1514559213976,322,622
160,q174,b174,e174,a,1,10;7;183,1514559217075,421,607
161,q175,b175,e175,b,1,17;7;184,1514559220298,323,432
162,q176,b176,e176,d,1,6;7;183,1514559223800,450,1214
163,q177,b177,e177,b,1,6;7;182,1514559226931,264,591
164,q178,b178,e178,d,1,9;2;182,1514559446420,101,127
165,q179,b179,e179,c,1,5;2;179;183,1514559449239,124,133
166,q180,b180,e180,b,1,15;2;184,1514559452252,153,198
167,q181,b181,e181,d,1,9;2;181,1514559455532,382,988
168,q182,b182,e182,b,1,4;2;182,1514559458386,214,323
169,q183,b183,e183,d,1,15;2;179;183,1514559461131,266,404
170,q184,b184,e184,a,1,20;21;179;184,1514559463876,343,504
171,q185,b185,e185,a,1,11;7;183,1514559466733,348,466
172,q186,b186,e186,b,1,12;2;182,1514559469672,635,1083
173,q187,b187,e187,a,1,4;2;181,1514558764657,496,841
174,q188,b188,e188,c,1,19;2;185,1514558767672,831,1043
175,q189,b189,e189,b,1,8;2;185,1514558770726,253,292
176,q190,b190,e190,a,1,6;7;181,1514558773989,539,1496
177,q191,b191,e191,b,1,4;2;183,1514558776884,170,208
178,q192,b192,e192,d,1,3;2;185,1514558779614,425,726
179,q193,b193,e193,a,1,4;2;181,1514558782352,211,236
180,q194,b194,e194,d,1,10;7;185,1514558785076,515,714
181,q195,b195,e195,c,1,20;21;185,1514558787819,422,654
182,q196,b196,e196,b,1,17;7;181,1514558790691,326,427
183,q197,b197,e197,a,2,24;25;183;181,1572412346030,150,175
184,q198,b198,e198,a,2,31;32;185;183,1572412347753,165,213
185,q199,b199,e199,b,2,24;33;184;183,1572412349331,162,420
186,q200,b200,e200,c,2,51;24;26;181;185,1572412350963,815,1916
187,q201,b201,e201,c,2,28;29;184;183,1572412352668,269,424
188,q202,b202,e202,a,2,24;40;181;185,-1,137,207
189,q203,b203,e203,b,2,38;39;183;185,1572412356112,198,322
190,q204,b204,e204,a,2,24;41;181;185,1572412357758,210,288
191,q205,b205,e205,a,2,44;49;185;181,1572412359436,543,748
192,q206,b206,e206,c,2,31;32;183;185,1572412361098,204,275
193,q208,b208,e208,c,2,24;25;181;183,1572412362658,134,214
194,q209,b209,e209,b,2,31;42;185;181,1572412364430,343,612
195,q210,b210,e210,a,2,36;32;185;181,-1,216,446
196,q212,b212,e212,b,2,27;24;26;183;184,1572412367786,237,287
197,q213,b213,e213,a,2,27;24;40;185;183,-1,247,340
198,q214,b214,e214,c,2,31;32;185;183,-1,374,863
199,q215,b215,e215,a,2,30;34;35;183;185,-1,539,746
200,q216,b216,e216,c,2,23;24;25;183;184,1572412374492,335,487
201,q217,b217,e217,a,2,24;48;181;185,1572412378257,594,772
202,q218,b218,e218,b,2,24;50;184;185,1572412380056,1144,1906
203,q219,b219,e219,c,2,44;45;185;184,-1,387,940
204,q220,b220,e220,a,2,27;31;32;181;185,1572412383568,194,326
205,q221,b221,e221,b,2,36;37;185;183,-1,296,500
206,q222,b222,e222,c,2,24;33;183;181,-1,107,149
207,q223,b223,e223,b,2,36;37;185;183,-1,517,693
208,q224,b224,e224,c,2,28;32;185;183,-1,198,305
209,q225,b225,e225,c,2,30;34;35;181;185,-1,205,304
210,q226,b226,e226,a,2,24;43;184;185,-1,201,290
211,q227,b227,e227,c,2,23;24;25;183;181,-1,196,241
212,q229,b229,e229,a,2,24;33;185;183,1514563743951,150,208
213,q230,b230,e230,b,2,24;48;181;183,-1,233,348
214,q231,b231,e231,c,2,24;33;184;185,-1,223,290
215,q232,b232,e232,a,2,31;32;183;185,1514563750971,276,379
216,q233,b233,e233,c,2,28;29;181;185,1514563753112,407,951
217,q235,b235,e235,b,2,24;33;181;185,1514563755373,253,379
218,q236,b236,e236,c,2,44;45;183;185,1514563757527,260,552
219,q237,b237,e237,c,2,23;46;47;185;181,-1,708,1265
220,q238,b238,e238,a,2,27;24;26;181;183,1514563761861,317,416
221,q240,b240,e240,b,2,34;35;185;181,1514563764160,240,472
222,q241,b241,e241,b,2,24;40;183;181,1514563766388,417,721
223,q242,b242,e242,b,2,24;41;183;185,1514563768527,164,223
224,q243,b243,e243,c,2,27;28;29;185;183,1514563770617,585,936
225,q245,b245,e245,c,2,24;25;185;183,1514563772760,455,817
226,q246,b246,e246,c,2,30;24;50;185;183,1514563774932,252,381
227,q247,b247,e247,b,2,31;32;181;185,1514563777252,149,191
228,q248,b248,e248,b,2,24;40;184;181,1514563779307,162,242
229,q249,b249,e249,b,2,27;38;39;185;184,1514563781549,387,542
230,q250,b250,e250,c,2,179;38;39;181;185,1514563783810,262,392
231,q251,b251,e251,b,2,36;37;184;183,1514563786033,353,484
232,q252,b252,e252,a,2,24;41;183;181,1514563788134,194,242
233,q253,b253,e253,c,2,31;32;185;183,1514563790315,157,255
234,q254,b254,e254,a,2,36;37;185;183,-1,334,633
235,q255,b255,e255,c,2,31;32;181;185,1514563794759,160,292
236,q256,b256,e256,c,2,34;42;184;183,-1,357,690
237,q259,b259,e259,a,2,24;25;182;183,1572412180346,601,1167
238,q260,b260,e260,a,2,30;38;39;184;182,-1,325,529
239,q261,b261,e261,c,2,31;32;184;181,1572412183634,335,555
240,q262,b262,e262,a,2,44;45;183;182,-1,229,324
241,q263,b263,e263,b,2,24;48;184;181,-1,449,668
242,q264,b264,e264,a,2,179;38;39;184;182,-1,209,325
243,q265,b265,e265,b,2,24;33;182;181,-1,242,364
244,q266,b266,e266,a,2,24;26;181;184,1572412192285,233,314
245,q267,b267,e267,c,2,30;28;29;184;183,-1,245,331
246,q268,b268,e268,b,2,24;43;184;181,-1,188,296
247,q269,b269,e269,c,2,27;24;26;181;183,-1,203,289
248,q270,b270,e270,a,2,30;34;35;184;181,-1,296,426
249,q271,b271,e271,c,2,36;37;182;183,-1,464,866
250,q273,b273,e273,b,2,179;44;45;181;183,1572412203291,317,435
251,q274,b274,e274,c,2,182;24;40;184,-1,92,137
252,q275,b275,e275,c,2,30;179;34;35;184;181,1572412207226,229,270
253,q276,b276,e276,b,2,30;34;35;183;182,1572412208938,304,423
254,q277,b277,e277,c,2,31;32;182;181,1572412210567,165,259
255,q278,b278,e278,a,2,27;46;47;181;183,1572412212287,607,908
256,q279,b279,e279,a,2,28;29;182;183,1572412214189,247,424
257,q280,b280,e280,b,2,38;39;182;181,1572412216091,775,1503
258,q281,b281,e281,c,2,44;45;184;182,-1,236,329
259,q283,b283,e283,a,2,27;179;24;25;182;184,-1,349,568
260,q284,b284,e284,b,2,27;24;33;182;183,1572412221675,236,333
261,q285,b285,e285,a,2,34;35;184;182,-1,453,830
262,q286,b286,e286,b,2,24;40;184;181,-1,223,476
263,q287,b287,e287,a,2,30;34;35;182;181,-1,246,308
264,q288,b288,e288,a,2,24;26;182;181,1572412547137,156,264
265,q289,b289,e289,b,2,51;24;33;183;182,1572412548992,874,1372
266,q290,b290,e290,b,2,24;26;183;184,-1,208,252
267,q291,b291,e291,a,2,24;41;182;181,-1,623,988
268,q292,b292,e292,c,2,31;32;183;182,1572412554251,688,1078
269,q294,b294,e294,a,2,24;43;182;183,1572412555944,665,1293
270,q295,b295,e295,c,2,34;42;181;182,1572412557626,2312,2978
271,q296,b296,e296,c,2,27;24;48;181;182,-1,256,405
272,q297,b297,e297,b,2,24;40;183;184,1572412561072,757,1350
273,q298,b298,e298,c,2,23;24;25;183;182,1572412562852,217,291
274,q299,b299,e299,a,2,27;34;35;182;181,1572412564574,259,371
275,q301,b301,e301,b,2,34;42;183;182,1572412566670,205,274
276,q303,b303,e303,b,2,30;34;42;182;181,-1,211,514
277,q304,b304,e304,a,2,24;26;183;182,-1,126,211
278,q306,b306,e306,c,2,27;24;33;182;183,1572412571562,223,327
279,q307,b307,e307,c,2,30;24;48;181;182,-1,358,556
280,q308,b308,e308,a,2,30;34;35;181;182,1572412575002,514,745
281,q309,b309,e309,c,2,28;29;183;184,-1,206,368
282,q310,b310,e310,a,2,28;37;183;182,-1,265,513
283,q311,b311,e311,c,2,34;35;184;183,-1,98,176
284,q312,b312,e312,c,2,23;24;25;183;181,-1,417,775
285,q313,b313,e313,c,2,24;33;185;183,1555045248875,145,220
286,q314,b314,e314,c,2,24;43;185;183,1555045250503,146,213
287,q315,b315,e315,a,2,24;26;181;183,1555045252423,129,143
288,q316,b316,e316,b,2,31;32;184;185,1555045254215,154,211
289,q317,b317,e317,a,2,23;179;24;25;183;185,1555045256067,271,315
290,q318,b318,e318,b,2,24;41;181;185,1555045257978,187,214
291,q319,b319,e319,b,2,24;40;181;185,1555045259765,121,175
292,q320,b320,e320,a,2,36;37;181;185,-1,325,539
293,q321,b321,e321,b,2,23;24;33;183;185,1555045263265,258,300
294,q322,b322,e322,b,2,30;31;32;185;181,1555045264972,216,295
295,q323,b323,e323,a,2,28;29;181;183,1555045266684,312,588
296,q324,b324,e324,a,2,24;26;185;181,1555045268437,134,146
297,q325,b325,e325,c,2,38;39;185;181,1555045270153,207,335
298,q326,b326,e326,b,2,24;43;183;181,-1,524,1210
299,q327,b327,e327,c,2,30;36;32;183;185,1555045273870,407,697
300,q328,b328,e328,b,2,179;44;45;183;185,-1,269,352
301,q329,b329,e329,a,2,30;179;38;39;183;185,1555045277473,230,348
302,q330,b330,e330,c,2,34;35;183;185,-1,398,764
303,q331,b331,e331,c,2,31;32;183;185,-1,139,189
304,q332,b332,e332,a,2,24;40;181;185,1555045282784,197,321
305,q333,b333,e333,c,2,30;36;37;184;181,1555045284577,214,289
306,q334,b334,e334,c,2,24;50;185;184,1555045286268,188,236
307,q335,b335,e335,c,2,44;45;181;185,1555045288031,292,469
308,q336,b336,e336,b,2,179;28;29;184;183,1555045289773,775,1360
309,q337,b337,e337,c,2,34;35;183;181,-1,191,251
310,q338,b338,e338,b,2,31;32;185;183,-1,262,339
311,q339,b339,e339,c,2,38;39;185;183,1555045295283,233,345
312,q340,b340,e340,b,2,24;41;181;185,-1,155,245
313,q341,b341,e341,c,2,30;38;39;184;183,-1,347,462
314,q342,b342,e342,c,2,179;46;47;183;181,1526634503033,377,490
315,q343,b343,e343,a,2,24;25;182;184,1526634505383,174,197
316,q344,b344,e344,b,2,24;43;182;183,1526634508276,183,240
317,q345,b345,e345,b,2,24;26;184;182,1526634510722,145,189
318,q346,b346,e346,a,2,179;34;35;184;182,-1,247,303
319,q349,b349,e349,c,2,24;40;184;182,1526634516273,125,174
320,q350,b350,e350,a,2,179;46;47;182;181,-1,407,520
321,q351,b351,e351,b,2,28;29;181;184,1526634521157,234,356
322,q353,b353,e353,c,2,44;45;184;181,1526634524007,251,454
323,q355,b355,e355,c,2,30;36;37;184;181,1526634526436,233,345
324,q356,b356,e356,b,2,30;34;42;181;183,1526634529083,390,565
325,q357,b357,e357,b,2,24;33;183;184,1526634531642,143,187
326,q358,b358,e358,c,2,34;35;181;183,-1,173,214
327,q359,b359,e359,b,2,30;28;37;182;184,1526634536877,223,286
328,q360,b360,e360,c,2,30;36;37;184;181,1526634539562,218,329
329,q361,b361,e361,a,2,24;41;183;182,-1,348,505
330,q362,b362,e362,a,2,30;28;29;182;181,1526634544814,222,281
331,q366,b366,e366,a,2,34;35;184;182,1526634547734,339,646
332,q367,b367,e367,c,2,183;181;24;25,-1,180,239
333,q368,b368,e368,b,2,30;24;33;185;183,1572412124493,451,707
334,q369,b369,e369,c,2,184;183;24;40,-1,433,703
335,q370,b370,e370,c,2,181;185;24;48,1572412129469,363,602
336,q371,b371,e371,b,2,184;183;24;33,1572412132587,335,461
337,q372,b372,e372,c,2,181;185;27;24;26,1572412135634,568,658
338,q373,b373,e373,b,2,183;185;23;24;25,1572412137519,766,963
339,q374,b374,e374,b,2,183;185;30;31;32,1572412139339,174,233
340,q375,b375,e375,a,2,185;181;28;29,1572412141113,274,436
341,q376,b376,e376,b,2,183;185;24;43,1572412142978,164,259
342,q377,b377,e377,a,2,30;31;32;185;181,-1,824,1374
343,q378,b378,e378,c,2,24;40;181;183,1572412146586,226,424
344,q379,b379,e379,a,2,185;181;31;32,-1,377,452
345,q380,b380,e380,b,2,36;37;185;181,1572412150102,520,912
346,q381,b381,e381,a,2,31;32;183;181,-1,219,250
347,q382,b382,e382,a,2,183;184;36;37,1572412154611,236,402
348,q383,b383,e383,b,2,31;32;185;183,1572412157056,185,251
349,q384,b384,e384,c,2,44;45;185;183,1572412158880,201,365
350,q385,b385,e385,b,2,24;41;183;185,-1,468,581
351,q386,b386,e386,a,2,38;39;183;184,1572412162222,365,470
352,q387,b387,e387,a,2,34;35;181;185,-1,426,722
353,q388,b388,e388,b,2,44;45;184;185,1572412165663,281,383
354,q389,b389,e389,a,2,24;50;185;184,-1,220,343
355,q390,b390,e390,c,2,44;45;181;185,1572412169415,197,311
356,q391,b391,e391,b,2,38;39;185;183,1572412171433,286,371
357,q392,b392,e392,b,2,183;181;31;32,-1,226,325
358,q393,b393,e393,c,2,185;183;30;36;37,-1,405,624
359,q394,b394,e394,b,2,185;183;30;34;35,1572412176911,344,540
360,q395,b395,e395,c,2,181;185;30;34;35,-1,229,298
361,q397,b397,e397,b,2,24;50;181;183,1572412888182,637,886
362,q398,b398,e398,c,2,30;24;43;183;184,1572412889796,331,449
363,q399,b399,e399,a,2,30;31;32;185;181,1572412891407,226,391
364,q400,b400,e400,b,2,46;47;183;185,1572412893087,413,543
365,q401,b401,e401,a,2,23;24;25;185;181,1572412894666,243,309
366,q402,b402,e402,c,2,30;24;26;181;183,1572412896298,263,312
367,q403,b403,e403,b,2,30;44;45;183;184,1572412897950,471,887
368,q404,b404,e404,b,2,24;40;185;181,-1,484,796
369,q405,b405,e405,b,2,38;39;181;185,1572412901208,224,341
370,q406,b406,e406,a,2,46;47;183;181,1572412902832,923,1693
371,q408,b408,e408,c,2,31;42;185;183,1572412904448,173,290
372,q409,b409,e409,a,2,24;43;185;181,-1,175,212
373,q410,b410,e410,b,2,44;45;185;181,1572412907686,195,263
374,q411,b411,e411,c,2,30;34;42;185;181,1572412909288,251,563
375,q412,b412,e412,a,2,31;42;183;184,-1,161,252
376,q413,b413,e413,c,2,38;39;181;183,1572412912885,568,916
377,q414,b414,e414,a,2,30;34;42;185;181,1572412914519,192,322
378,q415,b415,e415,c,2,24;41;185;181,1572412916265,248,609
379,q416,b416,e416,a,2,30;28;29;185;181,-1,228,327
380,q417,b417,e417,a,2,24;26;183;184,1572412919673,238,304
381,q418,b418,e418,c,2,30;34;35;181;183,-1,164,236
382,q419,b419,e419,a,2,34;42;185;183,-1,208,321
383,q420,b420,e420,b,2,24;40;185;183,1572412924664,356,460
384,q421,b421,e421,a,2,46;47;181;184,-1,322,549
385,q422,b422,e422,b,2,23;24;33;185;181,-1,671,1362
386,q423,b423,e423,b,2,24;25;185;183,1572413077892,366,750
387,q424,b424,e424,a,2,27;24;26;185;183,1572413079490,398,717
388,q425,b425,e425,c,2,36;37;181;183,1572413081530,332,504
389,q426,b426,e426,a,2,34;35;184;185,-1,249,389
390,q427,b427,e427,b,2,24;40;183;185,1572413085046,485,855
391,q428,b428,e428,b,2,24;40;181;185,1572413086851,247,417
392,q430,b430,e430,c,2,36;37;181;185,1572413088505,176,296
393,q431,b431,e431,b,2,179;24;43;183;185,1572413090333,227,377
394,q432,b432,e432,a,2,24;41;185;181,1572413091928,198,239
395,q433,b433,e433,b,2,24;40;181;183,-1,115,167
396,q434,b434,e434,c,2,31;32;185;181,-1,276,524
397,q435,b435,e435,b,2,27;24;41;185;181,1572413096883,480,810
398,q436,b436,e436,c,2,28;42;183;181,-1,392,522
399,q437,b437,e437,c,2,31;32;183;185,-1,140,194
400,q438,b438,e438,b,2,30;31;32;185;183,-1,382,665
401,q439,b439,e439,c,2,44;49;185;183,1572413103603,786,1309
402,q440,b440,e440,b,2,31;32;185;183,1572413105354,327,538
403,q442,b442,e442,c,2,38;39;181;185,1572413106937,434,682
404,q443,b443,e443,c,2,24;43;184;181,-1,138,186
405,q444,b444,e444,b,2,30;179;28;29;185;184,1572413110271,276,335
406,q445,b445,e445,a,2,28;29;181;185,1572413111950,182,296
407,q446,b446,e446,b,2,34;35;184;183,1572413113554,183,265
408,q447,b447,e447,a,2,27;46;47;183;181,1572413115419,979,1940
409,q448,b448,e448,b,2,30;179;34;35;185;183,1572413117181,596,883
410,q449,b449,e449,b,2,179;24;41;185;183,1572413118824,227,247
411,q451,b451,e451,b,2,31;32;184;183,1572413120565,160,191
412,q452,b452,e452,c,2,24;43;183;181,1572413267527,215,429
413,q453,b453,e453,b,2,24;26;182;184,1572413269281,129,149
414,q454,b454,e454,a,2,24;40;182;183,1572413271025,130,191
415,q455,b455,e455,c,2,23;24;33;184;182,1572413272659,441,677
416,q456,b456,e456,c,2,44;45;184;181,1572413274378,307,492
417,q457,b457,e457,a,2,23;24;25;183;182,1572413276137,304,366
418,q458,b458,e458,a,2,24;48;184;181,1572413277941,290,345
419,q459,b459,e459,a,2,38;39;184;182,-1,247,353
420,q461,b461,e461,b,2,30;24;33;181;184,1572413281742,210,268
421,q462,b462,e462,b,2,24;50;184;183,-1,286,483
422,q463,b463,e463,b,2,27;179;38;39;184;181,-1,323,422
423,q466,b466,e466,a,2,28;29;181;183,1572413289934,290,393
424,q467,b467,e467,a,2,27;46;47;183;184,1572413291797,410,539
425,q468,b468,e468,c,2,24;50;181;183,1572413293592,203,299
426,q469,b469,e469,c,2,179;28;29;182;184,1572413295352,244,319
427,q470,b470,e470,b,2,27;179;24;26;184;181,1572413296987,227,277
428,q471,b471,e471,a,2,179;34;42;183;182,1572413298739,219,262
429,q472,b472,e472,b,2,34;42;182;181,-1,192,313
